UPC,TITLE,Category ID,Category Name,Master Product ID,ACTIVE_CAT_ID_LIST,SITE_PRODUCT_TYPE,ITEM_QTY,NETNET_MERCH_AMT,BRAND,ITEM_GROUP_ID
32677719824,Vera Wang Wedgwood Grosgrain 5-Piece Place Setting,3865,Home,8154,"3864, 6466, 1000231, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,12,1188,VERA WANG                          ,4645
32677684368,"Vera Wang Wedgwood Grosgrain Oval Platter, 15""",3865,Home,8154,1065864,SERVEWARE,1,245,VERA WANG                          ,4634
24258019874,Waterford Lismore Champagne Flute,3865,Home,8414,"6466, 8240, 8292, 1000232, 1003304, 1004842, 1005000, 1005423, 1005425, 1005426, 1005468, 1005741, 1008368, 1031067, 1054662, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,1,75,WATERFORD                          ,2638
24258202481,Waterford Lismore Tall Iced Beverage Glass,3865,Home,8415,"6466, 8240, 8290, 1000232, 1003304, 1004842, 1005000, 1005423, 1005425, 1005426, 1005468, 1005743, 1008368, 1031067, 1054664, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,12,1020,WATERFORD                          ,10340
24258202481,Waterford Lismore Tall Iced Beverage Glass,3865,Home,8415,"6466, 8240, 8290, 1000232, 1003304, 1004842, 1005000, 1005423, 1005425, 1005426, 1005468, 1005743, 1008368, 1031067, 1054664, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,4,336.24,WATERFORD                          ,10340
24258202443,Waterford Lismore Tall Champagne Flute,3865,Home,8415,"6466, 8240, 8292, 1000232, 1003304, 1004842, 1005000, 1005423, 1005425, 1005426, 1005468, 1005741, 1008368, 1031067, 1054662, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,2,150,WATERFORD                          ,10339
24258202467,Waterford Lismore Tall Wine Glass,3865,Home,8415,"6466, 8240, 20741, 20743, 1000232, 1000306, 1003304, 1004842, 1004848, 1005000, 1005423, 1005425, 1005426, 1005468, 1005744, 1008368, 1031067, 1054665, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,2,147.78,WATERFORD                          ,10338
24258202467,Waterford Lismore Tall Wine Glass,3865,Home,8415,"6466, 8240, 20741, 20743, 1000232, 1000306, 1003304, 1004842, 1004848, 1005000, 1005423, 1005425, 1005426, 1005468, 1005744, 1008368, 1031067, 1054665, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,5,337.5,WATERFORD                          ,10338
24258202467,Waterford Lismore Tall Wine Glass,3865,Home,8415,"6466, 8240, 20741, 20743, 1000232, 1000306, 1003304, 1004842, 1004848, 1005000, 1005423, 1005425, 1005426, 1005468, 1005744, 1008368, 1031067, 1054665, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,3,202.5,WATERFORD                          ,10338
91709210890,Lenox Federal 5-Piece Place Setting,3865,Home,8493,"3864, 6466, 1000231, 1003024, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,1,102.46,LENOX                              ,17979
91709210890,Lenox Federal 5-Piece Place Setting,3865,Home,8493,"3864, 6466, 1000231, 1003024, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,-1,-104,LENOX                              ,17979
91709227980,"Lenox ""Federal"" Platinum 9"" Pasta/Soup Bowl",3865,Home,8493,1005736,DINNERWARE,8,347.2,LENOX                              ,11747
91709167521,Lenox Federal Dinner Plate,3865,Home,8493,"1005730, 1065864",DINNERWARE,8,224,LENOX                              ,11751
91709167538,Lenox Federal Salad Plate,3865,Home,8493,"1005731, 1065864",DINNERWARE,8,151.2,LENOX                              ,11761
91709167569,Lenox Federal Saucer,3865,Home,8493,"1005732, 1065864",DINNERWARE,8,100.8,LENOX                              ,11763
91709299406,Lenox Vintage Jewel 5 Piece Place Setting,3865,Home,8497,"3864, 6466, 1000231, 1003024, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,1,149.39,LENOX                              ,9570
32677419458,Wedgwood Sterling Salad Plate,3865,Home,8525,"1005731, 1065864",DINNERWARE,10,104.9,WEDGWOOD                           ,488088
32675033588,Wedgwood White Dinner Plate,3865,Home,8526,"1005730, 1065864",DINNERWARE,1,35,WEDGWOOD                           ,481473
32675970722,"Wedgwood ""Oberon"" 5 Piece Place Setting",3865,Home,8530,"3864, 6466, 1000231, 1003024, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,2,279.98,WEDGWOOD                           ,9191
32675141078,"Wedgwood ""Nantucket Basket"" Dinner Plate",3865,Home,8532,"1005730, 1065864",DINNERWARE,-2,-70,WEDGWOOD                           ,235159
32677368671,Wedgwood Nantucket Basket Covered Butter,3865,Home,8532,1065864,SERVEWARE,1,74.72,WEDGWOOD                           ,481615
32675141078,"Wedgwood ""Nantucket Basket"" Dinner Plate",3865,Home,8532,"1005730, 1065864",DINNERWARE,1,33.7,WEDGWOOD                           ,235159
32675141382,"Wedgwood ""Nantucket Basket"" Square Platter",3865,Home,8532,"19123, 1006267, 1065864",SERVEWARE,1,44.5,WEDGWOOD                           ,9349
32677368671,Wedgwood Nantucket Basket Covered Butter,3865,Home,8532,1065864,SERVEWARE,1,75,WEDGWOOD                           ,481615
32675141078,"Wedgwood ""Nantucket Basket"" Dinner Plate",3865,Home,8532,"1005730, 1065864",DINNERWARE,6,210,WEDGWOOD                           ,235159
41883890777,"Reed & Barton ""Soho"" Wine",3865,Home,8689,"6466, 8240, 1000232, 1003304, 1004842, 1005000, 1005423, 1005425, 1005426, 1005468, 1008368, 1031067, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,4,121.32,REED & BARTON                      ,10115
41883890791,"Reed & Barton ""Soho"" Flute",3865,Home,8689,"6466, 8240, 1000232, 1003304, 1004842, 1005000, 1005423, 1005425, 1005426, 1005468, 1008368, 1031067, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,2,90,REED & BARTON                      ,10116
41883890777,"Reed & Barton ""Soho"" Wine",3865,Home,8689,"6466, 8240, 1000232, 1003304, 1004842, 1005000, 1005423, 1005425, 1005426, 1005468, 1008368, 1031067, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,2,90,REED & BARTON                      ,10115
41883890777,"Reed & Barton ""Soho"" Wine",3865,Home,8689,"6466, 8240, 1000232, 1003304, 1004842, 1005000, 1005423, 1005425, 1005426, 1005468, 1008368, 1031067, 1062759, 1062760, 1063567, 1063568, 1064059, 1065864",DRINKWARE,6,270,REED & BARTON                      ,10115
32677659168,"Wedgwood ""Night and Day"" Rim Soup",3865,Home,15417,1065864,DINNERWARE,7,252,WEDGWOOD                           ,71362
24258485259,"Waterford Crystal ""Classic"" Frame, 5"" x 7""",3865,Home,22656,1001547,HOME_ACCENTS,1,79.7,WATERFORD                          ,2591
24258485259,"Waterford Crystal ""Classic"" Frame, 5"" x 7""",3865,Home,22656,1001547,HOME_ACCENTS,1,80,WATERFORD                          ,2591
24258485266,"Waterford Crystal ""Classic"" Frame, 8"" x 10""",3865,Home,22656,1001547,HOME_ACCENTS,1,78.32,WATERFORD                          ,2586
24258485266,"Waterford Crystal ""Classic"" Frame, 8"" x 10""",3865,Home,22656,1001547,HOME_ACCENTS,1,115,WATERFORD                          ,2586
24258485259,"Waterford Crystal ""Classic"" Frame, 5"" x 7""",3865,Home,22656,1001547,HOME_ACCENTS,5,400,WATERFORD                          ,2591
24258485259,"Waterford Crystal ""Classic"" Frame, 5"" x 7""",3865,Home,22656,1001547,HOME_ACCENTS,2,160,WATERFORD                          ,2591
24258485266,"Waterford Crystal ""Classic"" Frame, 8"" x 10""",3865,Home,22656,1001547,HOME_ACCENTS,1,115,WATERFORD                          ,2586
24258485259,"Waterford Crystal ""Classic"" Frame, 5"" x 7""",3865,Home,22656,1001547,HOME_ACCENTS,2,160,WATERFORD                          ,2591
24258485259,"Waterford Crystal ""Classic"" Frame, 5"" x 7""",3865,Home,22656,1001547,HOME_ACCENTS,1,80,WATERFORD                          ,2591
32677749487,Vera Wang Wedgwood Duchesse Wine,3865,Home,23558,1065864,DRINKWARE,4,69.6,VERA WANG                          ,23766
32677749487,Vera Wang Wedgwood Duchesse Wine,3865,Home,23558,1065864,DRINKWARE,12,261,VERA WANG                          ,23766
32677749487,Vera Wang Wedgwood Duchesse Wine,3865,Home,23558,1065864,DRINKWARE,2,43.34,VERA WANG                          ,23766
32677749500,Vera Wang Wedgwood Duchesse Ice Beverage,3865,Home,23558,1065864,DRINKWARE,5,108.35,VERA WANG                          ,23768
32677749500,Vera Wang Wedgwood Duchesse Ice Beverage,3865,Home,23558,1065864,DRINKWARE,4,85.72,VERA WANG                          ,23768
32677749487,Vera Wang Wedgwood Duchesse Wine,3865,Home,23558,1065864,DRINKWARE,2,43.5,VERA WANG                          ,23766
91574164229,Vera Wang Wedgwood Duchesse Platinum Iced Beverage,3865,Home,23558,1065864,DRINKWARE,6,130.5,VERA WANG                          ,469684
91574164243,"Vera Wang Wedgwood ""Duchesse"" Platinum Wine",3865,Home,23558,1065864,DRINKWARE,4,87,VERA WANG                          ,469681
32677749494,"Vera Wang Wedgwood ""Duchesse"" Flute",3865,Home,23558,1065864,DRINKWARE,6,174,VERA WANG                          ,23767
32677749487,Vera Wang Wedgwood Duchesse Wine,3865,Home,23558,1065864,DRINKWARE,6,174,VERA WANG                          ,23766
32677749494,"Vera Wang Wedgwood ""Duchesse"" Flute",3865,Home,23558,1065864,DRINKWARE,6,174,VERA WANG                          ,23767
32677682456,"Vera Wang Wedgwood ""Blanc Sur Blanc"" Gravy Stand",3865,Home,23580,"8316, 1065864",SERVEWARE,1,80,VERA WANG                          ,23685
32677719800,"Vera Wang Wedgwood ""Blanc Sur Blanc"" 5 Piece Place Setting",3865,Home,23580,"3864, 6466, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,12,1183.56,VERA WANG                          ,23691
